ID,温度,圧力,電流,電圧,外気温,速度,砂条件,鋳型条件,スイッチ1,スイッチ2,スイッチ3,スイッチ4,判定
760,510,42,0,212,1,5,"B","B","ON","ON","ON","ON","NG"
761,180,23,3,684,12,1,"B","A","ON","ON","OFF","ON","NG"
762,500,32,2,208,0,5,"B","B","ON","ON","OFF","ON","OK"
763,358,18,3,149,2,2,"B","B","ON","ON","OFF","ON","OK"
764,230,30,3,95,10,5,"B","A","ON","ON","ON","ON","NG"
765,455,35,1,614,2,8,"B","C","ON","ON","OFF","ON","OK"
766,425,25,3,0,10,6,"C","B","OFF","ON","OFF","ON","OK"
767,421,21,4,703,1,0,"A","C","ON","OFF","OFF","ON","OK"
768,254,28,3,595,2,7,"C","A","OFF","ON","OFF","ON","OK"
769,518,43,2,776,3,6,"B","B","ON","ON","OFF","OFF","OK"
770,380,19,6,0,5,1,"C","B","OFF","ON","OFF","ON","OK"
771,498,28,28,0,10,4,"B","B","ON","ON","OFF","OFF","OK"
772,390,21,4,162,10,0,"A","B","ON","OFF","OFF","ON","OK"
773,562,59,5,234,3,14,"B","C","ON","ON","OFF","ON","OK"
774,506,18,2,210,6,2,"A","C","ON","OFF","OFF","ON","OK"
775,461,20,3,192,5,1,"C","B","OFF","ON","OFF","ON","OK"
776,349,27,3,145,2,4,"B","B","ON","ON","OFF","OFF","OK"
777,215,19,3,89,12,0,"C","A","OFF","ON","OFF","ON","NG"
778,409,18,6,0,11,0,"C","B","OFF","ON","OFF","OFF","OK"
779,174,24,2,72,6,2,"B","A","ON","ON","OFF","ON","NG"
780,166,19,1,0,7,0,"A","A","ON","OFF","ON","ON","NG"
781,528,21,3,418,8,2,"A","C","ON","OFF","OFF","OFF","OK"
782,430,38,4,179,4,5,"C","A","OFF","ON","OFF","ON","OK"
783,626,26,5,260,7,0,"B","C","ON","ON","OFF","OFF","OK"
784,400,27,5,431,3,6,"B","B","ON","ON","OFF","OFF","OK"
785,169,19,2,70,6,1,"A","A","ON","OFF","ON","ON","NG"
786,211,28,25,0,3,2,"A","A","ON","OFF","OFF","OFF","NG"
787,549,29,6,228,6,11,"B","C","ON","ON","OFF","ON","OK"
788,161,18,1,367,11,2,"A","A","ON","OFF","OFF","ON","NG"
789,302,28,1,271,2,3,"B","A","ON","ON","OFF","ON","OK"
790,164,28,25,68,6,4,"C","A","OFF","ON","OFF","ON","NG"
791,362,38,2,150,2,5,"B","B","ON","ON","ON","ON","OK"
792,147,23,1,70,7,4,"C","A","OFF","ON","OFF","ON","NG"
793,323,22,8,134,9,3,"B","B","ON","ON","OFF","OFF","OK"
794,618,37,5,0,3,6,"C","B","OFF","ON","OFF","OFF","OK"
795,485,35,7,202,10,10,"B","B","ON","ON","OFF","OFF","OK"
796,269,24,2,112,3,0,"A","A","ON","OFF","OFF","ON","OK"
797,912,65,1,380,1,11,"B","D","ON","ON","OFF","ON","OK"
798,274,24,3,114,5,0,"B","A","ON","ON","OFF","ON","OK"
799,284,18,2,118,1,0,"C","A","OFF","ON","OFF","ON","OK"
800,397,36,3,610,6,14,"B","B","ON","ON","OFF","ON","OK"
801,375,19,0,0,14,0,"A","B","ON","OFF","ON","ON","NG"
802,427,42,6,1341,1,12,"B","B","ON","ON","OFF","ON","OK"
803,402,35,35,0,12,8,"B","B","ON","ON","OFF","ON","OK"
804,417,31,3,173,4,7,"C","B","OFF","ON","OFF","ON","OK"
805,451,22,3,102,5,3,"A","B","ON","OFF","OFF","ON","OK"
806,355,24,4,0,8,4,"B","B","ON","ON","OFF","ON","OK"
807,593,27,2,247,5,5,"B","C","ON","ON","OFF","ON","OK"
808,651,44,44,271,3,6,"B","C","ON","ON","OFF","OFF","OK"
809,402,31,31,167,10,6,"B","B","ON","ON","OFF","OFF","OK"
810,268,26,26,111,4,0,"B","A","ON","ON","OFF","OFF","OK"
811,352,21,1,146,7,2,"A","C","ON","OFF","OFF","ON","OK"
812,569,27,1,835,6,8,"C","B","OFF","ON","OFF","ON","OK"
813,274,32,1,0,11,13,"C","A","OFF","ON","OFF","ON","OK"
814,377,29,7,0,1,4,"B","B","ON","ON","OFF","ON","OK"
815,321,26,26,295,7,4,"A","B","ON","OFF","OFF","OFF","OK"
816,302,28,1,271,2,3,"B","A","ON","ON","OFF","ON","OK"
817,295,29,1,122,4,3,"B","B","ON","ON","OFF","ON","OK"
818,789,45,2,328,1,7,"B","C","ON","ON","OFF","ON","OK"
819,670,44,2,279,2,7,"A","C","ON","OFF","OFF","ON","OK"
820,633,38,2,263,3,4,"A","C","ON","OFF","OFF","ON","OK"
821,491,50,0,356,8,9,"B","B","ON","ON","ON","OFF","NG"
822,392,30,1,163,6,7,"A","B","ON","OFF","OFF","ON","OK"
823,494,33,0,205,13,1,"B","B","ON","ON","ON","ON","NG"
824,456,35,2,190,3,3,"B","B","ON","ON","OFF","ON","OK"
825,429,43,6,178,12,9,"B","B","ON","ON","OFF","ON","NG"
826,888,48,3,1120,5,12,"B","D","ON","ON","OFF","ON","OK"
827,483,22,3,701,10,2,"C","B","OFF","ON","OFF","ON","OK"
828,424,28,2,176,24,2,"C","B","OFF","ON","OFF","ON","OK"
829,591,34,1,246,4,6,"B","C","ON","ON","OFF","ON","OK"
830,425,31,5,177,1,9,"B","B","ON","ON","OFF","ON","OK"
831,409,32,5,170,7,3,"C","B","OFF","ON","OFF","ON","OK"
832,528,21,3,418,8,2,"A","C","ON","OFF","OFF","OFF","OK"
833,414,20,5,596,13,1,"A","B","ON","OFF","OFF","OFF","OK"
834,392,30,30,0,4,9,"B","B","ON","ON","OFF","OFF","OK"
835,450,26,6,187,7,5,"A","B","ON","OFF","OFF","ON","OK"
836,294,28,4,122,3,2,"B","B","ON","ON","OFF","ON","OK"
837,447,20,5,186,5,0,"A","B","ON","OFF","OFF","ON","OK"
838,473,47,27,197,5,5,"B","C","ON","ON","OFF","ON","OK"
839,435,27,3,1044,2,0,"B","B","ON","ON","OFF","ON","OK"
840,454,41,1,1118,7,5,"B","B","ON","ON","OFF","ON","OK"
841,375,19,0,0,14,0,"A","B","ON","OFF","ON","ON","NG"
842,399,27,27,0,3,7,"B","B","ON","ON","OFF","OFF","OK"
843,337,24,2,450,14,0,"B","A","ON","ON","OFF","ON","OK"
844,506,41,4,210,0,11,"B","C","ON","ON","OFF","ON","OK"
845,651,49,4,0,12,10,"C","B","OFF","ON","OFF","ON","OK"
846,372,35,35,155,2,3,"B","B","ON","ON","OFF","ON","OK"
847,392,30,30,0,4,9,"B","B","ON","ON","OFF","OFF","OK"
848,343,28,3,142,2,5,"B","B","ON","ON","OFF","ON","OK"
849,405,33,3,1121,7,4,"B","B","ON","ON","OFF","ON","OK"
850,396,27,0,0,5,3,"B","B","ON","ON","ON","OFF","NG"
851,834,44,2,347,8,10,"B","D","ON","ON","ON","ON","OK"
852,469,49,1,1084,6,4,"B","B","ON","ON","OFF","ON","OK"
853,436,46,2,181,4,4,"B","B","ON","ON","OFF","ON","OK"
854,274,24,3,114,5,0,"B","A","ON","ON","OFF","ON","OK"
855,230,30,3,95,10,5,"B","A","ON","ON","ON","ON","NG"
856,312,24,24,130,1,4,"B","B","ON","ON","OFF","ON","OK"
857,481,39,1,485,11,4,"B","B","ON","ON","OFF","ON","OK"
858,396,44,2,165,0,13,"B","C","ON","ON","OFF","ON","OK"
859,393,26,3,163,5,0,"B","B","ON","ON","OFF","ON","OK"
860,472,36,0,0,10,4,"B","B","ON","ON","ON","OFF","NG"
861,466,31,5,53,18,6,"B","B","ON","ON","OFF","ON","OK"
862,617,42,2,826,4,5,"B","C","ON","ON","OFF","ON","OK"
863,329,23,8,308,0,3,"B","B","ON","ON","OFF","ON","OK"
864,450,26,6,187,7,5,"A","B","ON","OFF","OFF","ON","OK"
865,546,33,6,227,9,4,"B","B","ON","ON","OFF","OFF","OK"
866,442,27,2,925,3,7,"C","B","OFF","ON","OFF","ON","OK"
867,568,35,7,371,10,7,"B","C","ON","ON","OFF","OFF","OK"
868,392,30,30,0,4,9,"B","B","ON","ON","OFF","OFF","OK"
869,749,55,1,0,0,8,"B","C","ON","ON","OFF","ON","OK"
870,365,22,5,1227,15,1,"A","B","ON","OFF","OFF","ON","OK"
871,515,42,5,0,16,13,"B","B","ON","ON","OFF","OFF","OK"
872,237,22,2,98,1,2,"A","A","ON","OFF","OFF","ON","OK"
873,599,46,3,0,1,16,"B","C","ON","ON","OFF","ON","OK"
874,425,23,1,1564,4,4,"B","C","ON","ON","OFF","ON","OK"
875,352,21,1,146,7,2,"A","C","ON","OFF","OFF","ON","OK"
876,488,27,27,203,8,4,"B","C","ON","ON","OFF","OFF","OK"
877,222,18,3,543,11,2,"B","A","ON","ON","OFF","ON","OK"
878,269,24,2,112,3,0,"A","A","ON","OFF","OFF","ON","OK"
879,443,29,4,184,12,3,"A","B","ON","OFF","OFF","ON","OK"
880,481,32,3,285,4,6,"B","B","ON","ON","OFF","OFF","OK"
881,505,45,6,595,17,5,"B","B","ON","ON","OFF","OFF","OK"
882,437,34,3,182,1,5,"C","B","OFF","ON","OFF","OFF","OK"
883,274,32,1,0,11,13,"C","A","OFF","ON","OFF","ON","OK"
884,643,43,7,0,1,13,"B","B","ON","ON","ON","ON","OK"
885,500,32,2,208,0,5,"B","B","ON","ON","OFF","ON","OK"
886,408,29,1,170,1,2,"C","A","OFF","ON","OFF","ON","OK"
887,417,31,3,173,4,7,"C","B","OFF","ON","OFF","ON","OK"
888,358,18,3,149,2,2,"B","B","ON","ON","OFF","ON","OK"
889,587,42,1,1440,4,17,"B","C","ON","ON","OFF","ON","OK"
890,650,38,38,270,7,6,"C","C","OFF","ON","OFF","OFF","OK"
891,660,34,0,0,7,9,"B","B","ON","ON","ON","ON","NG"
892,380,19,6,0,5,1,"C","B","OFF","ON","OFF","ON","OK"
893,287,27,3,119,8,5,"C","A","OFF","ON","OFF","OFF","OK"
894,506,18,2,210,6,2,"A","C","ON","OFF","OFF","ON","OK"
895,441,37,1,566,3,8,"B","C","ON","ON","OFF","OFF","OK"
896,513,46,26,213,5,6,"A","B","ON","OFF","OFF","OFF","OK"
897,578,51,2,240,14,13,"B","B","ON","ON","OFF","ON","OK"
898,578,51,2,240,14,13,"B","B","ON","ON","OFF","ON","OK"
899,191,27,2,79,6,3,"A","A","ON","OFF","OFF","ON","NG"
900,409,18,6,0,11,0,"C","B","OFF","ON","OFF","OFF","OK"
901,423,33,0,176,7,8,"B","B","ON","ON","ON","OFF","NG"
902,338,21,6,348,4,0,"A","B","ON","OFF","OFF","OFF","OK"
903,234,28,2,598,5,3,"B","A","ON","ON","OFF","ON","OK"
904,679,37,8,262,22,7,"B","C","ON","ON","OFF","OFF","OK"
905,471,40,1,1346,13,16,"A","B","ON","OFF","OFF","ON","OK"
906,287,27,3,119,8,5,"C","A","OFF","ON","OFF","OFF","OK"
907,318,33,33,0,2,4,"C","B","OFF","ON","OFF","OFF","OK"
908,271,30,2,112,18,10,"C","B","OFF","ON","OFF","ON","OK"
909,588,35,1,0,6,5,"B","C","ON","ON","OFF","ON","OK"
910,264,24,24,0,7,6,"C","A","OFF","ON","OFF","OFF","OK"
911,211,28,25,0,3,2,"A","A","ON","OFF","OFF","OFF","NG"
912,447,33,4,0,3,10,"C","B","OFF","ON","OFF","OFF","OK"
913,423,33,0,176,7,8,"B","B","ON","ON","ON","OFF","NG"
914,392,30,30,0,4,9,"B","B","ON","ON","OFF","OFF","OK"
915,668,50,2,278,6,9,"B","C","ON","ON","OFF","ON","OK"
916,392,30,1,163,6,7,"A","B","ON","OFF","OFF","ON","OK"
917,387,19,3,299,1,1,"C","B","OFF","ON","OFF","ON","OK"
918,417,21,7,173,15,1,"A","B","ON","OFF","OFF","ON","OK"
919,429,33,3,178,10,6,"B","B","ON","ON","OFF","ON","OK"
920,414,20,5,596,13,1,"A","B","ON","OFF","OFF","OFF","OK"
921,166,19,1,0,7,0,"A","A","ON","OFF","ON","ON","NG"
922,386,24,2,396,16,3,"C","B","OFF","ON","OFF","ON","NG"
923,506,18,2,210,6,2,"A","C","ON","OFF","OFF","ON","OK"
924,888,48,3,1120,5,12,"B","D","ON","ON","OFF","ON","OK"
925,599,46,3,0,1,16,"B","C","ON","ON","OFF","ON","OK"
926,644,45,4,268,9,12,"B","B","ON","ON","OFF","ON","OK"
927,515,42,5,0,16,13,"B","B","ON","ON","OFF","OFF","OK"
928,337,33,3,0,3,11,"B","B","ON","ON","OFF","ON","OK"
929,576,24,24,240,2,2,"A","C","ON","OFF","OFF","ON","OK"
930,524,50,30,148,5,9,"B","B","ON","ON","OFF","ON","OK"
931,568,20,9,236,7,0,"B","B","ON","ON","OFF","OFF","OK"
932,292,29,1,121,18,5,"A","B","ON","OFF","OFF","ON","OK"
933,392,30,30,0,4,9,"B","B","ON","ON","OFF","OFF","OK"
934,538,20,0,224,24,0,"A","B","ON","OFF","ON","ON","NG"
935,138,22,19,0,7,3,"A","A","ON","OFF","OFF","OFF","NG"
936,340,20,3,141,4,0,"A","B","ON","OFF","OFF","ON","OK"
937,312,24,24,130,1,4,"B","B","ON","ON","OFF","ON","OK"
938,372,18,3,155,1,0,"B","B","ON","ON","OFF","OFF","OK"
939,349,27,3,145,2,4,"B","B","ON","ON","OFF","OFF","OK"
940,568,35,7,371,10,7,"B","C","ON","ON","OFF","OFF","OK"
941,546,33,6,227,9,4,"B","B","ON","ON","OFF","OFF","OK"
942,679,28,7,282,11,4,"C","C","OFF","ON","OFF","ON","OK"
943,424,28,2,176,24,2,"C","B","OFF","ON","OFF","ON","OK"
944,599,46,3,0,1,16,"B","C","ON","ON","OFF","ON","OK"
945,476,34,0,366,4,7,"B","B","ON","ON","ON","OFF","NG"
946,377,29,7,0,1,4,"B","B","ON","ON","OFF","ON","OK"
947,426,26,0,177,6,2,"B","B","ON","ON","ON","OFF","NG"
948,651,44,6,0,3,7,"B","C","ON","ON","OFF","OFF","OK"
949,421,25,0,967,11,7,"B","B","ON","ON","ON","ON","NG"
950,462,30,3,1487,12,3,"B","B","ON","ON","OFF","ON","OK"
951,442,35,1,184,3,4,"B","B","ON","ON","OFF","ON","OK"
952,339,21,2,141,4,3,"C","B","OFF","ON","OFF","ON","OK"
953,541,26,1,1335,2,6,"A","B","ON","OFF","OFF","ON","OK"
954,660,34,0,0,7,9,"B","B","ON","ON","ON","ON","NG"
955,261,24,1,108,3,1,"B","A","ON","ON","OFF","ON","OK"
956,420,25,1,175,9,0,"A","B","ON","OFF","OFF","ON","OK"
957,237,22,2,98,1,2,"A","A","ON","OFF","OFF","ON","OK"
958,454,41,1,1118,7,5,"B","B","ON","ON","OFF","ON","OK"
959,643,43,7,0,1,13,"B","B","ON","ON","ON","ON","OK"
960,373,36,0,155,5,6,"B","B","ON","ON","ON","OFF","NG"
961,610,41,1,254,3,7,"B","C","ON","ON","OFF","ON","OK"
962,458,40,4,190,16,5,"C","B","OFF","ON","OFF","ON","OK"
963,306,29,2,127,4,9,"B","B","ON","ON","OFF","ON","OK"
964,277,27,2,681,3,6,"A","A","ON","OFF","OFF","ON","OK"
965,582,45,7,242,2,6,"B","C","ON","ON","OFF","ON","OK"
966,341,23,3,142,3,2,"B","B","ON","ON","OFF","ON","OK"
967,327,20,3,0,6,0,"A","B","ON","OFF","OFF","ON","OK"
968,658,44,5,274,2,5,"B","C","ON","ON","OFF","ON","OK"
969,807,41,41,336,10,10,"B","D","ON","ON","OFF","OFF","OK"
970,461,20,3,192,5,1,"C","B","OFF","ON","OFF","ON","OK"
971,498,43,7,1085,13,9,"B","B","ON","ON","OFF","OFF","OK"
972,498,28,28,0,10,4,"B","B","ON","ON","OFF","OFF","OK"
973,588,35,1,0,6,5,"B","C","ON","ON","OFF","ON","OK"
974,360,26,3,0,10,7,"B","B","ON","ON","OFF","ON","OK"
975,660,36,7,275,12,11,"B","C","ON","ON","OFF","ON","OK"
976,362,38,2,150,2,5,"B","B","ON","ON","ON","ON","OK"
977,476,26,26,198,9,6,"A","B","ON","OFF","OFF","ON","OK"
978,352,21,1,146,7,2,"A","C","ON","OFF","OFF","ON","OK"
979,194,24,1,80,14,2,"B","A","ON","ON","ON","ON","NG"
980,271,30,2,112,18,10,"C","B","OFF","ON","OFF","ON","OK"
981,492,28,0,205,10,4,"A","B","ON","OFF","ON","OFF","NG"
982,184,19,5,76,4,0,"A","A","ON","OFF","ON","ON","NG"
983,138,22,19,0,7,3,"A","A","ON","OFF","OFF","OFF","NG"
984,264,20,0,110,3,1,"A","B","ON","OFF","ON","ON","NG"
985,617,42,2,826,4,5,"B","C","ON","ON","OFF","ON","OK"
986,420,25,1,175,9,0,"A","B","ON","OFF","OFF","ON","OK"
987,447,42,6,186,7,4,"B","B","ON","ON","OFF","OFF","OK"
988,391,23,7,162,5,5,"B","B","ON","ON","OFF","OFF","OK"
989,593,27,2,247,5,5,"B","C","ON","ON","OFF","ON","OK"
990,454,29,2,189,12,3,"B","B","ON","ON","OFF","ON","OK"
991,211,28,25,0,3,2,"A","A","ON","OFF","OFF","OFF","NG"
992,471,28,3,196,2,5,"B","B","ON","ON","OFF","ON","OK"
993,372,35,35,155,2,3,"B","B","ON","ON","OFF","ON","OK"
994,553,35,0,230,2,6,"B","B","ON","ON","ON","OFF","NG"
995,513,34,4,213,10,10,"B","B","ON","ON","OFF","ON","OK"
996,314,26,26,130,1,7,"B","B","ON","ON","OFF","ON","OK"
997,158,28,1,65,12,5,"B","A","ON","ON","OFF","ON","NG"
998,587,42,1,1440,4,17,"B","C","ON","ON","OFF","ON","OK"
999,454,41,1,1118,7,5,"B","B","ON","ON","OFF","ON","OK"
1000,644,45,4,268,9,12,"B","B","ON","ON","OFF","ON","OK"
1001,194,24,1,80,14,2,"B","A","ON","ON","ON","ON","NG"
1002,454,50,5,189,6,10,"B","C","ON","ON","OFF","ON","OK"
1003,633,38,2,263,3,4,"A","C","ON","OFF","OFF","ON","OK"
1004,586,44,4,160,3,9,"C","C","OFF","ON","OFF","OFF","OK"
1005,586,44,4,160,3,9,"C","C","OFF","ON","OFF","OFF","OK"
1006,405,31,4,168,10,1,"B","B","ON","ON","OFF","ON","OK"
1007,454,41,1,1118,7,5,"B","B","ON","ON","OFF","ON","OK"
1008,492,34,1,205,16,4,"C","B","OFF","ON","OFF","ON","OK"
1009,523,44,2,1921,5,5,"B","C","ON","ON","OFF","ON","OK"
1010,651,44,44,271,3,6,"B","C","ON","ON","OFF","OFF","OK"
1011,264,24,24,0,7,6,"C","A","OFF","ON","OFF","OFF","OK"
1012,254,32,4,105,14,5,"B","B","ON","ON","OFF","ON","OK"
1013,222,20,1,851,4,0,"A","A","ON","OFF","OFF","ON","NG"
1014,292,26,2,798,2,0,"B","B","ON","ON","OFF","ON","OK"
1015,464,38,2,1395,6,3,"B","B","ON","ON","OFF","ON","OK"
1016,456,44,3,0,5,6,"B","C","ON","ON","OFF","ON","OK"
1017,424,20,20,176,3,1,"A","B","ON","OFF","OFF","OFF","OK"
1018,451,36,4,187,11,4,"B","B","ON","ON","OFF","ON","OK"
1019,490,36,2,0,11,8,"B","B","ON","ON","OFF","OFF","OK"
1020,384,53,3,160,13,9,"B","B","ON","ON","OFF","ON","OK"
1021,660,34,0,0,7,9,"B","B","ON","ON","ON","ON","NG"
1022,401,32,0,167,6,12,"B","B","ON","ON","ON","ON","NG"
1023,397,19,4,624,4,0,"C","B","OFF","ON","OFF","ON","OK"
1024,691,51,31,287,7,8,"C","C","OFF","ON","OFF","ON","OK"
1025,211,28,25,0,3,2,"A","A","ON","OFF","OFF","OFF","NG"
1026,417,31,3,173,4,7,"C","B","OFF","ON","OFF","ON","OK"
1027,413,28,3,172,3,6,"B","B","ON","ON","OFF","ON","OK"
1028,494,33,0,205,13,1,"B","B","ON","ON","ON","ON","NG"
1029,160,18,15,0,7,2,"A","A","ON","OFF","OFF","ON","NG"
1030,235,19,2,1747,5,1,"A","B","ON","OFF","OFF","ON","OK"
1031,582,45,7,242,2,6,"B","C","ON","ON","OFF","ON","OK"
1032,923,55,3,995,1,7,"B","D","ON","ON","OFF","ON","OK"
1033,442,24,5,0,5,2,"B","B","ON","ON","OFF","OFF","OK"
1034,358,23,2,0,11,3,"B","B","ON","ON","OFF","ON","OK"
1035,198,27,1,82,9,8,"A","A","ON","OFF","OFF","ON","NG"
1036,340,20,3,141,4,0,"A","B","ON","OFF","OFF","ON","OK"
1037,276,32,2,277,4,5,"B","B","ON","ON","OFF","ON","OK"
1038,292,26,2,798,2,0,"B","B","ON","ON","OFF","ON","OK"
1039,430,41,4,179,3,11,"B","B","ON","ON","OFF","ON","OK"
1040,426,30,5,177,2,8,"B","B","ON","ON","OFF","OFF","OK"
1041,423,20,5,176,19,0,"A","D","ON","OFF","OFF","ON","OK"
1042,535,41,7,222,1,6,"B","C","ON","ON","OFF","ON","OK"
1043,601,54,34,460,11,10,"B","C","ON","ON","OFF","ON","OK"
1044,215,19,3,89,12,0,"C","A","OFF","ON","OFF","ON","NG"
1045,447,33,4,0,3,10,"C","B","OFF","ON","OFF","OFF","OK"
1046,670,44,2,279,2,7,"A","C","ON","OFF","OFF","ON","OK"
1047,359,35,8,0,11,9,"B","B","ON","ON","OFF","OFF","OK"
1048,358,23,2,0,11,3,"B","B","ON","ON","OFF","ON","OK"
1049,617,42,2,826,4,5,"B","C","ON","ON","OFF","ON","OK"
1050,375,35,35,156,4,4,"C","B","OFF","ON","OFF","OFF","OK"
1051,568,20,9,236,7,0,"B","B","ON","ON","OFF","OFF","OK"
1052,481,32,3,285,4,6,"B","B","ON","ON","OFF","OFF","OK"
1053,469,49,1,1084,6,4,"B","B","ON","ON","OFF","ON","OK"
1054,387,19,3,299,1,1,"C","B","OFF","ON","OFF","ON","OK"
1055,401,30,1,257,9,2,"B","B","ON","ON","OFF","ON","OK"
1056,408,29,1,170,1,2,"C","A","OFF","ON","OFF","ON","OK"
1057,672,51,31,280,5,10,"B","C","ON","ON","OFF","OFF","OK"
1058,180,23,3,684,12,1,"B","A","ON","ON","OFF","ON","NG"
1059,479,47,5,446,3,8,"C","B","OFF","ON","OFF","OFF","OK"
1060,498,38,6,207,6,13,"B","B","ON","ON","OFF","ON","OK"
1061,523,44,2,1921,5,5,"B","C","ON","ON","OFF","ON","OK"
1062,549,35,35,228,6,10,"B","C","ON","ON","OFF","OFF","OK"
1063,505,45,6,595,17,5,"B","B","ON","ON","OFF","OFF","OK"
1064,513,46,26,213,5,6,"A","B","ON","OFF","OFF","OFF","OK"
1065,506,41,4,210,0,11,"B","C","ON","ON","OFF","ON","OK"
1066,393,26,3,163,5,0,"B","B","ON","ON","OFF","ON","OK"
1067,454,34,1,189,7,7,"B","B","ON","ON","OFF","ON","OK"
1068,373,36,0,155,5,6,"B","B","ON","ON","ON","OFF","NG"
1069,405,31,4,168,10,1,"B","B","ON","ON","OFF","ON","OK"
1070,318,33,33,0,2,4,"C","B","OFF","ON","OFF","OFF","OK"
1071,454,41,1,1118,7,5,"B","B","ON","ON","OFF","ON","OK"
1072,164,28,25,68,6,4,"C","A","OFF","ON","OFF","ON","NG"
1073,426,30,5,177,2,8,"B","B","ON","ON","OFF","OFF","OK"
1074,211,34,1,509,13,7,"B","B","ON","ON","OFF","ON","NG"
1075,365,30,2,152,4,6,"B","B","ON","ON","ON","ON","OK"
1076,549,29,6,228,6,11,"B","C","ON","ON","OFF","ON","OK"
1077,338,21,6,348,4,0,"A","B","ON","OFF","OFF","OFF","OK"
1078,424,28,2,176,24,2,"C","B","OFF","ON","OFF","ON","OK"
1079,396,32,3,165,3,6,"C","B","OFF","ON","OFF","ON","OK"
1080,396,32,3,165,3,6,"C","B","OFF","ON","OFF","ON","OK"
1081,312,24,24,130,1,4,"B","B","ON","ON","OFF","ON","OK"
1082,370,26,2,154,1,6,"B","B","ON","ON","OFF","ON","OK"
1083,404,23,23,168,10,0,"B","B","ON","ON","OFF","ON","OK"
1084,427,42,6,1341,1,12,"B","B","ON","ON","OFF","ON","OK"
1085,697,45,3,0,0,13,"B","C","ON","ON","OFF","OFF","OK"
1086,174,24,2,72,6,2,"B","A","ON","ON","OFF","ON","NG"
1087,467,41,1,194,4,5,"B","B","ON","ON","OFF","ON","OK"
1088,399,22,6,166,12,0,"B","B","ON","ON","OFF","OFF","OK"
1089,618,37,5,0,3,6,"C","B","OFF","ON","OFF","OFF","OK"
1090,476,34,0,366,4,7,"B","B","ON","ON","ON","OFF","NG"
1091,505,45,6,595,17,5,"B","B","ON","ON","OFF","OFF","OK"
1092,355,24,4,0,8,4,"B","B","ON","ON","OFF","ON","OK"
1093,485,35,7,202,10,10,"B","B","ON","ON","OFF","OFF","OK"
1094,409,42,3,0,8,4,"A","B","ON","OFF","OFF","OFF","NG"
1095,296,28,3,461,5,6,"A","B","ON","OFF","OFF","ON","OK"
1096,370,26,2,154,1,6,"B","B","ON","ON","OFF","ON","OK"
1097,651,44,6,0,3,7,"B","C","ON","ON","OFF","OFF","OK"
1098,279,23,23,644,9,0,"B","A","ON","ON","OFF","ON","OK"
1099,174,24,2,72,6,2,"B","A","ON","ON","OFF","ON","NG"
1100,234,28,2,598,5,3,"B","A","ON","ON","OFF","ON","OK"
1101,491,50,0,356,8,9,"B","B","ON","ON","ON","OFF","NG"
1102,697,45,2,290,6,5,"B","C","ON","ON","OFF","ON","OK"
1103,400,31,31,166,8,6,"B","B","ON","ON","OFF","ON","OK"
1104,314,26,26,130,1,7,"B","B","ON","ON","OFF","ON","OK"
1105,814,55,1,339,4,9,"B","C","ON","ON","OFF","ON","OK"
1106,494,33,0,205,13,1,"B","B","ON","ON","ON","ON","NG"
1107,287,27,3,119,8,5,"C","A","OFF","ON","OFF","OFF","OK"
1108,274,24,3,114,5,0,"B","A","ON","ON","OFF","ON","OK"
1109,425,25,3,0,10,6,"C","B","OFF","ON","OFF","ON","OK"
1110,518,44,2,215,12,16,"B","C","ON","ON","OFF","ON","OK"
1111,377,29,7,0,1,4,"B","B","ON","ON","OFF","ON","OK"
1112,674,45,1,467,4,7,"B","C","ON","ON","OFF","ON","OK"
1113,403,23,0,0,10,4,"B","B","ON","ON","ON","ON","NG"
1114,684,53,5,285,2,10,"B","C","ON","ON","OFF","OFF","OK"
1115,378,31,31,171,4,7,"B","B","ON","ON","OFF","ON","OK"
1116,513,46,26,213,5,6,"A","B","ON","OFF","OFF","OFF","OK"
1117,464,38,2,1395,6,3,"B","B","ON","ON","OFF","ON","OK"
1118,341,23,3,142,3,2,"B","B","ON","ON","OFF","ON","OK"
1119,458,40,4,190,16,5,"C","B","OFF","ON","OFF","ON","OK"
1120,408,41,2,1690,8,5,"B","B","ON","ON","OFF","ON","OK"
1121,674,45,1,467,4,7,"B","C","ON","ON","OFF","ON","OK"
1122,138,22,19,0,7,3,"A","A","ON","OFF","OFF","OFF","NG"
1123,180,23,3,684,12,1,"B","A","ON","ON","OFF","ON","NG"
1124,467,32,32,194,7,5,"B","B","ON","ON","OFF","OFF","OK"
1125,562,59,5,234,3,14,"B","C","ON","ON","OFF","ON","OK"
1126,336,29,29,140,10,7,"B","B","ON","ON","OFF","ON","OK"
1127,426,30,5,177,2,8,"B","B","ON","ON","OFF","OFF","OK"
1128,211,28,1,0,7,3,"B","A","ON","ON","OFF","ON","NG"
1129,443,36,2,184,4,8,"B","C","ON","ON","OFF","ON","OK"
1130,447,20,5,186,5,0,"A","B","ON","OFF","OFF","ON","OK"
1131,341,23,3,142,3,2,"B","B","ON","ON","OFF","ON","OK"
1132,222,18,3,543,11,2,"B","A","ON","ON","OFF","ON","OK"
1133,489,37,4,1285,5,4,"B","C","ON","ON","OFF","ON","OK"
1134,178,22,19,74,9,0,"A","A","ON","OFF","OFF","OFF","NG"
1135,633,38,2,263,3,4,"A","C","ON","OFF","OFF","ON","OK"
